1;cây atm gần tôi;;;
điểm;O;O;O;O
đặt;O;O;O;O
máy;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
VCB?;O;O;O;O
;;;;
59;Ở Cầu Giấy những chỗ nào có cây atm vậy ạ;;;
[INTENT];location;O;O;O
Ở;O;O;O;O
Cầu;O;O;O;O
Giấy;O;O;O;O
những;O;O;O;O
chỗ;O;O;O;O
nào;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
vậy;O;O;O;O
ạ;O;O;O;O
;;;;
60;Tôi đang ở Long Biên, cần rút tiền mặt;;;
[INTENT];location;O;O;O
Tôi;O;O;O;O
đang;O;O;O;O
ở;O;O;O;O
Long;O;O;O;O
Biên,;O;O;O;O
cần;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
mặt;O;O;O;O
;;;;
61;Rút tiền không cần thẻ ở đâu;;;
[INTENT];location;O;O;O
Rút;O;O;O;O
tiền;O;O;O;O
không;O;O;O;O
cần;O;O;O;O
thẻ;O;O;O;O
ở;O;O;O;O
đâu;O;O;O;O
;;;;
62;Cây atm VCB.;;;
[INTENT];location;O;O;O
Cây;O;O;O;O
atm;O;O;O;O
VCB.;O;O;O;O
;;;;
63;Không xem được danh sách ATM;;;
[INTENT];location;O;O;O
Không;O;O;O;O
xem;O;O;O;O
được;O;O;O;O
danh;O;O;O;O
sách;O;O;O;O
ATM;O;O;O;O
;;;;
64;cây rút tiền của TP bank tại hiệp hòa ở đâu;;;
[INTENT];location;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
của;O;O;O;O
TP;O;O;O;O
bank;O;O;O;O
tại;O;O;O;O
hiệp;O;O;O;O
hòa;O;O;O;O
ở;O;O;O;O
đâu;O;O;O;O
;;;;
65;Quanh Thanh Xuân có cây atm nào k b?;;;
[INTENT];location;O;O;O
Quanh;O;O;O;O
Thanh;O;O;O;O
Xuân;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
nào;O;O;O;O
k;O;O;O;O
b?;O;O;O;O
;;;;
66;Cây atm có ở tam kỳ quảng nam ko;;;
[INTENT];location;O;O;O
Cây;O;O;O;O
atm;O;O;O;O
có;O;O;O;O
ở;O;O;O;O
tam;O;O;O;O
kỳ;O;O;O;O
quảng;O;O;O;O
nam;O;O;O;O
ko;O;O;O;O
;;;;
67;Mình cần rút tiền thì cần tìm cây ở đâu?;;;
[INTENT];location;O;O;O
Mình;O;O;O;O
cần;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
thì;O;O;O;O
cần;O;O;O;O
tìm;O;O;O;O
cây;O;O;O;O
ở;O;O;O;O
đâu?;O;O;O;O
;;;;
68;xin cho tôi biết các vị trí của ATM;;;
[INTENT];location;O;O;O
xin;O;O;O;O
cho;O;O;O;O
tôi;O;O;O;O
biết;O;O;O;O
các;O;O;O;O
vị;O;O;O;O
trí;O;O;O;O
của;O;O;O;O
ATM;O;O;O;O
;;;;
69;Chỗ cây rút tiền của TPB ở đâu thế ad?;;;
[INTENT];location;O;O;O
Chỗ;O;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
của;O;O;O;O
TPB;O;O;O;O
ở;O;O;O;O
đâu;O;O;O;O
thế;O;O;O;O
ad?;O;O;O;O
;;;;
70;Cho mình hỏi chỗ rút tiền gần mình nhất;;;
[INTENT];location;O;O;O
Cho;O;O;O;O
mình;O;O;O;O
hỏi;O;O;O;O
chỗ;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
gần;O;O;O;O
mình;O;O;O;O
nhất;O;O;O;O
;;;;
71;chi nhánh Cây ATM ở đâu;;;
[INTENT];location;O;O;O
chi;O;O;O;O
nhánh;O;O;O;O
Cây;O;O;O;O
ATM;O;O;O;O
ở;O;O;O;O
đâu;O;O;O;O
;;;;
72;cây rút tiền có mặt ở khắp sân trường Báo chí đúng không;;;
[INTENT];location;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
có;O;O;O;O
mặt;O;O;O;O
ở;O;O;O;O
khắp;O;O;O;O
sân;O;O;O;O
trường;O;O;O;O
Báo;O;O;O;O
chí;O;O;O;O
đúng;O;O;O;O
không;O;O;O;O
;;;;
73;ở nam định có cây rút tiền nào không;;;
[INTENT];location;O;O;O
ở;O;O;O;O
nam;O;O;O;O
định;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
nào;O;O;O;O
không;O;O;O;O
;;;;
74;atm của các bạn có nhiều ở quanh sài gòn chứ;;;
[INTENT];location;O;O;O
atm;O;O;O;O
của;O;O;O;O
các;O;O;O;O
bạn;O;O;O;O
có;O;O;O;O
nhiều;O;O;O;O
ở;O;O;O;O
quanh;O;O;O;O
sài;O;O;O;O
gòn;O;O;O;O
chứ;O;O;O;O
;;;;
75;M muốn rút tiền mà k tìm thấy cây ATM nào?;;;
[INTENT];location;O;O;O
M;O;O;O;O
muốn;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
mà;O;O;O;O
k;O;O;O;O
tìm;O;O;O;O
thấy;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
nào?;O;O;O;O
;;;;
76;atm ở hiệp hòa;;;
[INTENT];location;O;O;O
atm;O;O;O;O
ở;O;O;O;O
hiệp;O;O;O;O
hòa;O;O;O;O
;;;;
77;B ơi cho mình hỏi mình ở Đống Đa thì có cây ATM nào ở khu vực đó k ?;;;
[INTENT];location;O;O;O
B;O;O;O;O
ơi;O;O;O;O
cho;O;O;O;O
mình;O;O;O;O
hỏi;O;O;O;O
mình;O;O;O;O
ở;O;O;O;O
Đống;O;O;O;O
Đa;O;O;O;O
thì;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
nào;O;O;O;O
ở;O;O;O;O
khu;O;O;O;O
vực;O;O;O;O
đó;O;O;O;O
k;O;O;O;O
?;O;O;O;O
;;;;
78;Minh k tìm thấy cây rút tiền;;;
[INTENT];location;O;O;O
Minh;O;O;O;O
k;O;O;O;O
tìm;O;O;O;O
thấy;O;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
;;;;
79;có những câu atm nào;;;
[INTENT];location;O;O;O
có;O;O;O;O
những;O;O;O;O
câu;O;O;O;O
atm;O;O;O;O
nào;O;O;O;O
;;;;
80;cây rút tiền của TP bank tại hiệp hòa;;;
[INTENT];location;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
của;O;O;O;O
TP;O;O;O;O
bank;O;O;O;O
tại;O;O;O;O
hiệp;O;O;O;O
hòa;O;O;O;O
;;;;
81;Chỉ tôi chỗ có cây ATM của TPBank;;;
[INTENT];location;O;O;O
Chỉ;O;O;O;O
tôi;O;O;O;O
chỗ;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
TPBank;O;O;O;O
;;;;
82;Cho mình hỏi điểm đặt cây ATM;;;
[INTENT];location;O;O;O
Cho;O;O;O;O
mình;O;O;O;O
hỏi;O;O;O;O
điểm;O;O;O;O
đặt;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
;;;;
83;Cây ATM Tpbank.;;;
[INTENT];location;O;O;O
Cây;O;O;O;O
ATM;O;O;O;O
Tpbank.;O;O;O;O
;;;;
84;Cây atm của tpbank đc đặt ở những đâu?;;;
[INTENT];location;O;O;O
Cây;O;O;O;O
atm;O;O;O;O
của;O;O;O;O
tpbank;O;O;O;O
đc;O;O;O;O
đặt;O;O;O;O
ở;O;O;O;O
những;O;O;O;O
đâu?;O;O;O;O
;;;;
85;trong sân trường ĐH sư phạm có cây atm nào không;;;
[INTENT];location;O;O;O
trong;O;O;O;O
sân;O;O;O;O
trường;O;O;O;O
ĐH;O;O;O;O
sư;O;O;O;O
phạm;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
nào;O;O;O;O
không;O;O;O;O
;;;;
86;Tôi muốn tìm cây rút tiền gần nhà mình;;;
[INTENT];location;O;O;O
Tôi;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
gần;O;O;O;O
nhà;O;O;O;O
mình;O;O;O;O
;;;;
87;atm ở đâu;;;
[INTENT];location;O;O;O
atm;O;O;O;O
ở;O;O;O;O
đâu;O;O;O;O
;;;;
88;bạn ơi cho mình vị trí các cây ATM của ngân hàng với;;;
[INTENT];location;O;O;O
bạn;O;O;O;O
ơi;O;O;O;O
cho;O;O;O;O
mình;O;O;O;O
vị;O;O;O;O
trí;O;O;O;O
các;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
với;O;O;O;O
;;;;
89;vị trí atm;;;
[INTENT];location;O;O;O
vị;O;O;O;O
trí;O;O;O;O
atm;O;O;O;O
;;;;
90;ở thanh hóa có atm không;;;
[INTENT];location;O;O;O
ở;O;O;O;O
thanh;O;O;O;O
hóa;O;O;O;O
có;O;O;O;O
atm;O;O;O;O
không;O;O;O;O
;;;;
91;quanh nam định có atm không;;;
[INTENT];location;O;O;O
quanh;O;O;O;O
nam;O;O;O;O
định;O;O;O;O
có;O;O;O;O
atm;O;O;O;O
không;O;O;O;O
;;;;
92;Gửi mình địa chỉ của cây atm khu vực tp Hồ Chí Minh nhé!;;;
[INTENT];location;O;O;O
Gửi;O;O;O;O
mình;O;O;O;O
địa;O;O;O;O
chỉ;O;O;O;O
của;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
khu;O;O;O;O
vực;O;O;O;O
tp;O;O;O;O
Hồ;O;O;O;O
Chí;O;O;O;O
Minh;O;O;O;O
nhé!;O;O;O;O
;;;;
93;Quanh HN ở những đâu có cây atm của Tpbank vậy?;;;
[INTENT];location;O;O;O
Quanh;O;O;O;O
HN;O;O;O;O
ở;O;O;O;O
những;O;O;O;O
đâu;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
của;O;O;O;O
Tpbank;O;O;O;O
vậy?;O;O;O;O
;;;;
94;Cho mình hỏi quanh đại học Thủy Lợi có cây ATM nào của TPB hông ?;;;
[INTENT];location;O;O;O
Cho;O;O;O;O
mình;O;O;O;O
hỏi;O;O;O;O
quanh;O;O;O;O
đại;O;O;O;O
học;O;O;O;O
Thủy;O;O;O;O
Lợi;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
nào;O;O;O;O
của;O;O;O;O
TPB;O;O;O;O
hông;O;O;O;O
?;O;O;O;O
;;;;
95;mình muồn tìm địa điểm atm;;;
[INTENT];location;O;O;O
mình;O;O;O;O
muồn;O;O;O;O
tìm;O;O;O;O
địa;O;O;O;O
điểm;O;O;O;O
atm;O;O;O;O
;;;;
96;ở hà nội có cây rút tiền nào không;;;
[INTENT];location;O;O;O
ở;O;O;O;O
hà;O;O;O;O
nội;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
nào;O;O;O;O
không;O;O;O;O
;;;;
97;Vị trí các cây ATM của ngân hàng tn ?;;;
[INTENT];location;O;O;O
Vị;O;O;O;O
trí;O;O;O;O
